Timestamp,"0. 추후 조사와의 join key가 될 **익명 ID**를 하나 입력해 주세요.  어떤 문자열이건 상관없으나, 반드시 기억하고 있어야 하며, 타인의 ID와 중복되지 않을 무언가여야 합니다. (e.g. 직박구리, 붕붕카를 탄 무지)",1. 아래 보기 중 본인의 통학 형태를 가장 설명하는 단어는?,"2. 학교에 등교하기까지 대략 몇 분 걸립니까? 편도 기준으로, '분' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 편도 1시간일 경우 60을 기입)","3. 보통 하루 수면시간은 몇시간 정도입니까? 수업이 있는 평일 기준으로, '시간' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 6시간일 경우 6을 기입)","4. 일주일에 보통 몇 회 정도 술을 먹습니까? ""회"" 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오.",5-1. 최근에 검사한 MBTI 결과의 첫 문자열 -- E vs. I,5-2. 최근에 검사한 MBTI 결과의 두번째 문자열 -- N vs. S,5-3. 최근에 검사한 MBTI 결과의 세번째 문자열 -- F vs. T,5-4. 최근에 검사한 MBTI 결과의 네번째 문자열 -- J vs. P
3/22/2023 14:36:31,국뽕빠진주모,대중교통/자가용 이용이 필요함,70,6,0,I,N,F,P
3/22/2023 14:38:48,Abcde,대중교통/자가용 이용이 필요함,65,6.5,0,I,S,F,J
3/22/2023 14:49:27,권가네,대중교통/자가용 이용이 필요함,50,8,0.5,E,N,F,P
3/22/2023 14:55:03,오지석,대중교통/자가용 이용이 필요없음,8,6,3,E,N,T,P
3/22/2023 14:55:23,알파카,대중교통/자가용 이용이 필요함,120,6,0,E,S,T,J
3/22/2023 14:56:26,최진사,대중교통/자가용 이용이 필요함,75,6,1,E,S,F,J
3/22/2023 14:56:26,최영근,대중교통/자가용 이용이 필요없음,7,5,0.1,I,N,F,P
3/22/2023 14:56:50,ㅁㄴㅇㄹ호ㅓㅏㅣ,대중교통/자가용 이용이 필요없음,9.347,5.556,2.5,I,N,T,J
3/22/2023 14:57:34,Math is hard,대중교통/자가용 이용이 필요없음,15,8.5,2,E,S,T,J
3/22/2023 15:00:30,떡볶이,대중교통/자가용 이용이 필요없음,10,9,0,E,S,F,J
3/22/2023 15:02:04,금잔디제,대중교통/자가용 이용이 필요없음,5분,7,2,E,N,F,P
3/22/2023 15:03:01,잘생긴오지석,대중교통/자가용 이용이 필요없음,15,8,2,I,S,T,J
3/22/2023 15:03:30,1115,대중교통/자가용 이용이 필요없음,12,7,2,E,N,F,J
3/22/2023 15:03:42,동글동글곰,대중교통/자가용 이용이 필요없음,110,6,0,I,S,F,P
3/22/2023 15:03:46,짱구,대중교통/자가용 이용이 필요함,80,7,0,E,S,F,P
3/22/2023 15:04:12,0057,대중교통/자가용 이용이 필요없음,15,8,1,I,S,F,모름
3/22/2023 15:04:20,Iphone 14 pro,대중교통/자가용 이용이 필요함,75,7,1,I,S,F,J
3/22/2023 15:04:21,미팅은 너나가라 우최,대중교통/자가용 이용이 필요함,50,7.5,1,E,모름,F,P
3/22/2023 15:04:55,노트북이 없어요,대중교통/자가용 이용이 필요없음,10,6,1,I,S,F,P
3/22/2023 15:04:58,dddnnn,대중교통/자가용 이용이 필요함,25,7,0,I,N,F,J
3/22/2023 15:05:05,축복받은 영웅,대중교통/자가용 이용이 필요없음,10,8,0.67,I,S,T,P
3/22/2023 15:05:10,ssueim,대중교통/자가용 이용이 필요함,120,8,1,I,N,T,J
3/22/2023 15:05:26,박보검,대중교통/자가용 이용이 필요함,50,6,0.5,E,N,F,P
3/22/2023 15:05:26,사직서,대중교통/자가용 이용이 필요없음,30,7,1,E,S,F,P
3/22/2023 15:05:37,cauchy,대중교통/자가용 이용이 필요함,60,6.5,0,I,S,F,J
3/22/2023 15:05:38,jonggangplz,대중교통/자가용 이용이 필요없음,15,6.5,1,I,S,T,J
3/22/2023 15:05:39,oeoe,대중교통/자가용 이용이 필요함,50,7.5,0.5,E,N,F,J
3/22/2023 15:05:43,주3회맥모닝,대중교통/자가용 이용이 필요없음,11분,8,1회,I,S,T,J
3/22/2023 15:05:47,Jungjihyuk,대중교통/자가용 이용이 필요함,90,8,0,I,N,T,P
3/22/2023 15:06:23,목이 짧아 슬픈 기린,대중교통/자가용 이용이 필요없음,11.7345,7.333,0.09,E,N,F,P
3/22/2023 15:06:32,고봉민,대중교통/자가용 이용이 필요함,60,6,0.3,E,S,F,P
3/22/2023 15:07:41,천존득점왕,대중교통/자가용 이용이 필요없음,10,8,0.2,I,모름,모름,모름
3/22/2023 16:27:08,다이어터,대중교통/자가용 이용이 필요함,80,7,1,E,S,T,P
